movie_id,title,cleaned_tags
19995,Avatar,nd century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization action adventure fantasy science fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind soul sam worthington zoe saldana sigourney weaver
285,Pirates of the Caribbean: At World's End,captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems adventure fantasy action ocean drug abuse exotic island east india trading company love ones life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnny depp orlando bloom keira knightley
206647,Spectre,cryptic message bonds past sends trail uncover sinister organization battles political forces keep secret service alive bond peels back layers deceit reveal terrible truth behind spectre action adventure crime spy based novel secret agent sequel mi british secret service united kingdom daniel craig christoph waltz léa seydoux
49026,The Dark Knight Rises,following death district attorney harvey dent batman assumes responsibility dents crimes protect late attorneys reputation subsequently hunted gotham city police department eight years later batman encounters mysterious selina kyle villainous bane new terrorist leader overwhelms gothams finest dark knight resurfaces protect city branded enemy action crime drama thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante coverup superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman christian bale michael caine gary oldman
49529,John Carter,john carter warweary former military captain whos inexplicably transported mysterious exotic planet barsoom mars reluctantly becomes embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rests hands action adventure science fiction based novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword planet th century taylor kitsch lynn collins samantha morton
559,Spider-Man 3,seemingly invincible spiderman goes allnew crop villain including shapeshifting sandman spidermans superpowers altered alien organism alter ego peter parker deals nemesis eddie brock also gets caught love triangle fantasy action adventure dual identity amnesia sandstorm love ones life forgiveness spider wretch death friend egomania sand narcism hostility marvel comic sequel superhero revenge tobey maguire kirsten dunst james franco
38757,Tangled,kingdoms wantedand charmingbandit flynn rider hides mysterious tower hes taken hostage rapunzel beautiful feisty towerbound teen feet magical golden hair flynns curious captor whos looking ticket tower shes locked away years strikes deal handsome thief unlikely duo sets actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thugs animation family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based fairy tale duringcreditsstinger healing gift animal sidekick zachary levi mandy moore donna murphy
99861,Avengers: Age of Ultron,tony stark tries jumpstart dormant peacekeeping program things go awry earths mightiest heroes put ultimate test fate planet hangs balance villainous ultron emerges avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure action adventure science fiction marvel comic sequel superhero based comic book vision superhero team duringcreditsstinger marvel cinematic universe robert downey jr chris hemsworth mark ruffalo
767,Harry Potter and the Half-Blood Prince,harry begins sixth year hogwarts discovers old book marked property halfblood prince begins learn lord voldemorts dark past adventure fantasy family witch magic broom school witchcraft wizardry apparition teenage crush werewolf daniel radcliffe rupert grint emma watson
209112,Batman v Superman: Dawn of Justice,fearing actions godlike super hero left unchecked gotham citys formidable forceful vigilante takes metropoliss revered modernday savior world wrestles sort hero really needs batman superman war one another new threat quickly arises putting mankind greater danger ever known action adventure fantasy dc comics vigilante superhero based comic book revenge super powers clark kent bruce wayne dc extended universe ben affleck henry cavill gal gadot
1452,Superman Returns,superman returns discover year absence allowed lex luthor walk free closest felt abandoned moved luthor plots ultimate revenge could see millions killed change face planet forever well ridding man steel adventure fantasy action science fiction saving world dc comics invulnerability sequel superhero based comic book kryptonite super powers superhuman strength lex luthor brandon routh kevin spacey kate bosworth
10764,Quantum of Solace,quantum solace continues adventures james bond casino royale betrayed vesper woman loved fights urge make latest mission personal pursuing determination uncover truth bond interrogate mr white reveals organization blackmailed vesper far complex dangerous anyone imagined adventure action thriller crime killing undercover secret agent british secret service daniel craig olga kurylenko mathieu amalric
58,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow works way blood debt ghostly davey jones also attempts avoid eternal damnation adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger johnny depp orlando bloom keira knightley
57201,The Lone Ranger,texas rangers chase gang outlaws led butch cavendish gang ambushes rangers seemingly killing one survivor found however american indian named tonto nurses back health ranger donning mask riding white stallion named silver teams tonto bring unscrupulous gang others ilk justice action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche lone ranger tonto johnny depp armie hammer william fichtner
49521,Man of Steel,young boy learns extraordinary powers earth young man journeys discover came sent hero must emerge save world annihilation become symbol hope mankind action adventure fantasy science fiction saving world dc comics superhero based comic book superhuman alien invasion reboot super powers dc extended universe henry cavill amy adams michael shannon
2454,The Chronicles of Narnia: Prince Caspian,one year incredible adventures lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince whose life threatened evil king miraz help colorful cast new characters including trufflehunter badger nikabrik dwarf pevensie clan embarks incredible quest ensure narnia returned rightful heir adventure family fantasy based novel fictional place brother sister relationship lion human wretch leap time matter life death faith uncle narnia fantasy world ben barnes william moseley anna popplewell
